City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.92,92,100,14.03,PN,1707456655
1,chernyshevskiy,63.0128,112.4714,-27.53,96,99,0.79,RU,1707456655
2,port-aux-francais,-49.35,70.2167,5.8,81,99,12.14,TF,1707456655
3,ilulissat,69.2167,-51.1,-17.99,65,73,10.8,GL,1707456655
4,weno,7.4515,151.8468,28.97,74,100,3.6,FM,1707456655
5,vorgashor,67.5833,63.95,-7.38,85,100,5.06,RU,1707456655
6,niafunke,15.9322,-3.9906,19.49,11,100,4.31,ML,1707456655
7,waitangi,-43.9535,-176.5597,16.01,56,12,0.89,NZ,1707456655
8,bodo,67.28,14.405,-1.98,64,75,7.2,NO,1707456655
9,tiksi,71.6872,128.8694,-25.93,100,100,1.71,RU,1707456655
10,edinburgh of the seven seas,-37.0676,-12.3116,18.94,83,56,9.09,SH,1707456656
11,bethel,41.3712,-73.414,3.21,80,0,0.0,US,1707456656
12,alipur,29.3846,70.9116,22.14,18,0,2.7,PK,1707456656
13,longyearbyen,78.2186,15.6401,-12.09,72,20,6.17,SJ,1707456656
14,puerto ayora,-0.7393,-90.3518,25.86,94,51,1.34,EC,1707456656
15,gizo,-8.103,156.8419,26.96,88,100,6.71,SB,1707456656
16,valle del guamuez,0.4525,-76.9192,21.39,98,61,1.01,CO,1707456656
17,coahuayana de hidalgo,18.7,-103.6583,21.16,85,25,1.19,MX,1707456656
18,vilyuchinsk,52.9306,158.4028,-5.85,77,75,0.94,RU,1707456423
19,greymouth,-42.4667,171.2,16.24,69,3,2.79,NZ,1707456657
20,floro,61.5996,5.0328,-5.02,80,0,2.57,NO,1707456657
21,turochak,52.2576,87.1224,0.17,90,100,1.75,RU,1707456657
22,margaret river,-33.95,115.0667,28.5,46,0,3.33,AU,1707456657
23,saipan,15.1355,145.701,29.39,65,20,6.17,MP,1707456657
24,lundazi,-12.2929,33.1782,23.2,73,90,2.08,ZM,1707456657
25,west island,-12.1568,96.8225,30.99,70,40,6.17,CC,1707456657
26,opuwo,-18.0607,13.84,22.48,62,99,0.77,NA,1707456657
27,al jawf,29.5,38.75,14.7,41,54,5.28,SA,1707456657
28,alice springs,-23.7,133.8833,35.68,20,57,6.69,AU,1707456657
29,port mathurin,-19.6833,63.4167,27.0,74,92,10.18,MU,1707456657
30,aasiaat,68.7098,-52.8699,-26.64,98,86,5.9,GL,1707456658
31,papatowai,-46.5619,169.4708,13.5,65,100,0.82,NZ,1707456658
32,albany,42.6001,-73.9662,5.23,62,98,0.89,US,1707456601
33,port lincoln,-34.7333,135.8667,21.46,58,3,7.64,AU,1707456658
34,iqaluit,63.7506,-68.5145,-22.15,64,75,6.17,CA,1707456658
35,grytviken,-54.2811,-36.5092,4.84,95,96,5.37,GS,1707456658
36,bisbee,31.4482,-109.9284,5.17,69,50,3.13,US,1707456658
37,atamyrat,37.8357,65.2106,16.64,23,26,10.8,TM,1707456658
